normRMSH;normCurv;gammaNorm;muT;normPullOff
0.226675;5.08463;0.0533425;0.274694;0.000434575
0.0728675;48.9193;0.122239;0.314292;0.0148764
0.0441068;308.894;0.175521;1.01679;0.000204458
0.225319;5.12406;0.44045;0.266505;0.09473
0.223971;5.13797;0.0565603;0.483241;0.000140698
0.225959;5.10703;0.271109;0.277597;0.0139391
0.149074;8.53647;0.0799195;4.02635;7.33E-05
0.0790625;37.6395;0.285332;0.336891;0.00153576
0.0890797;26.2222;0.100721;0.355566;0.000385619
0.0893442;26.2424;0.812854;0.297911;0.141136
0.10696;14.0668;0.0146292;0.43897;0.0011779
0.0726128;48.8909;0.0994004;0.20408;0.000596795
0.148825;8.50159;0.0174545;7.03408;1.53E-05
0.225079;5.09501;0.0768714;0.234461;0.00376115
0.0365916;691.066;0.0828419;0.22953;0.000507709
0.0372179;604.384;0.102964;0.300676;0.000748234
0.0703854;48.0655;0.143762;0.347186;0.00297496
0.0831709;31.9704;0.101221;0.214911;0.00106072
0.111252;14.4379;0.00619179;0.469239;0.000202963
0.0893441;26.2423;0.112878;0.222886;0.000696598
0.149064;8.55488;0.0732008;0.427392;0.0360305
0.060543;93.2243;0.718487;0.429185;0.0429071
0.11252;14.543;0.0247772;0.221421;0.00129251
0.149189;8.53677;0.228264;1.03736;0.000268606
0.0461594;266.272;0.32436;6.60668;0.000284182
0.148825;8.50157;0.397095;0.282111;0.0435814
0.149074;8.53647;0.0545312;0.25083;0.000661479
0.0728847;48.9243;0.558452;0.293059;0.135902
0.146249;8.47238;0.0243328;0.889363;0.000306414
0.0931937;23.3652;0.0872611;0.274498;0.000225249
0.063218;70.1106;0.0401901;0.449509;0.000210386
0.0470205;221.871;0.0529488;0.66878;4.76E-05
0.0728812;48.9236;0.753283;1.05179;0.0233243
0.0893;26.2153;0.0820687;0.573503;0.00100309
0.0895586;22.5647;0.0260974;28.2331;9.43E-07
0.0788435;37.5954;0.00739367;0.608769;6.02E-05
0.0728613;48.9194;0.505366;0.244606;0.0479565
0.0427713;351.625;0.369199;0.325462;0.00139666
0.0509645;180.236;0.408277;0.221566;0.0200057
0.149074;8.53647;0.0201503;1.72188;1.92E-05
0.112774;14.5858;0.22075;0.554791;0.000888241
0.0726127;48.8907;0.171549;0.28054;0.000229545
0.225959;5.10704;0.0845107;0.407418;0.000637817
0.225319;5.12406;0.00889832;0.277369;0.0194198
0.112764;14.5763;0.152021;0.305138;0.000467264
0.112831;14.5954;0.18193;0.391889;0.13041
0.226675;5.08462;0.0716248;0.421125;0.000124064
0.0881468;26.0927;0.0541462;0.405635;0.000173556
0.112851;14.5949;0.027498;0.223428;0.259735
0.0421935;350.005;0.0564488;0.693078;0.00027362
0.112774;14.5859;0.170324;0.605492;0.00166863
0.225079;5.09501;0.0190607;0.539089;0.00105466
0.0894094;26.2566;0.206658;2.92148;0.000389281
0.148825;8.50158;0.0456022;0.368418;0.000272437
